Title,Date,Link to event
DIVERGENT MINDS: FEMALE NEURODIVERSITY IN ART & ART HISTORY,Mon Nov 28 07:30:00 CET 2022,https://www.eventbrite.co.uk/e/divergent-minds-female-neurodiversity-in-art-art-history-tickets-406356101037?aff=ebdssbonlinesearch
Feng Shui Monthly Energy Shift Workshop,Thu Dec 01 18:00:00 CET 2022,https://www.eventbrite.com/e/feng-shui-monthly-energy-shift-workshop-tickets-148941703645?aff=ebdssbonlinesearch
Elizabeth I: A tale of betrayal and deception with Tracy Borman,Wed Jan 25 08:30:00 CET 2023,https://www.eventbrite.co.uk/e/elizabeth-i-a-tale-of-betrayal-and-deception-with-tracy-borman-tickets-415445216827?aff=ebdssbonlinesearch
The Real History Behind The Woman King,Sun Nov 13 08:00:00 CET 2022,https://www.eventbrite.com/e/the-real-history-behind-the-woman-king-tickets-448666803487?aff=ebdssbonlinesearch
Black Family Business Networking Event,Fri Dec 02 13:00:00 CET 2022,https://www.eventbrite.com/e/black-family-business-networking-event-tickets-355076051027?aff=ebdssbonlinesearch
BEATRIX POTTER: Drawing Nature (3),Sat Nov 12 03:00:00 CET 2022,https://www.eventbrite.co.uk/e/beatrix-potter-drawing-nature-3-tickets-430134542997?aff=ebdssbonlinesearch
Mediaeval Buildings: Hidden Historic Houses,Wed Nov 23 08:00:00 CET 2022,https://www.eventbrite.co.uk/e/mediaeval-buildings-hidden-historic-houses-tickets-431615893757?aff=ebdssbonlinesearch
End to End MLOps Platform - Hands-on Workshop,Tue Nov 15 18:00:00 CET 2022,https://www.eventbrite.com/e/end-to-end-mlops-platform-hands-on-workshop-tickets-429346636347?aff=ebdssbonlinesearch
Person-Centred Therapy: A Contemporary Introduction - Mick Cooper,Sat Nov 12 11:00:00 CET 2022,https://www.eventbrite.co.uk/e/person-centred-therapy-a-contemporary-introduction-mick-cooper-tickets-403862372227?aff=ebdssbonlinesearch
SBA Certifications: 8(a) HUBZone and WOSB Informational Webinar,Wed Nov 16 18:30:00 CET 2022,https://www.eventbrite.com/e/sba-certifications-8a-hubzone-and-wosb-informational-webinar-tickets-37389043636?aff=ebdssbonlinesearch
Virtual Writing Hour with the National Portrait Gallery,Tue Dec 13 11:00:00 CET 2022,https://www.eventbrite.com/e/virtual-writing-hour-with-the-national-portrait-gallery-tickets-99411309904?aff=ebdssbonlinesearch
WorkSpace for Black Girls,Thu Nov 17 13:00:00 CET 2022,https://www.eventbrite.com/e/workspace-for-black-girls-tickets-250687351617?aff=ebdssbonlinesearch
Online SASHIKO - Japanese Mending Workshop,Wed Nov 09 08:00:00 CET 2022,https://www.eventbrite.co.uk/e/online-sashiko-japanese-mending-workshop-tickets-142081961973?aff=ebdssbonlinesearch
INSEAD Workshop: Venture Capital Business Angels and Starts Ups,Thu Nov 17 11:30:00 CET 2022,https://www.eventbrite.com/e/insead-workshop-venture-capital-business-angels-and-starts-ups-tickets-113712017706?aff=ebdssbonlinesearch
Fiorella Giordano & Justin Abraham: Mysterion,Fri Nov 18 22:00:00 CET 2022,https://www.eventbrite.com.au/e/fiorella-giordano-justin-abraham-mysterion-tickets-444494193097?aff=ebdssbonlinesearch
MASKING TAPE MYCOLOGY: Sculpting with Studio Funnel,Fri Nov 11 07:30:00 CET 2022,https://www.eventbrite.co.uk/e/masking-tape-mycology-sculpting-with-studio-funnel-tickets-440956622127?aff=ebdssbonlinesearch
Understanding Dissociation and Dissociative Disorders [Free Webinar],Tue Nov 15 19:00:00 CET 2022,https://www.eventbrite.com/e/understanding-dissociation-and-dissociative-disorders-free-webinar-tickets-427943379167?aff=ebdssbonlinesearch
Live Guided Meditation | hosted by Meditation Breaks,Wed Nov 09 14:30:00 CET 2022,https://www.eventbrite.com/e/live-guided-meditation-hosted-by-meditation-breaks-registration-100844504628?aff=ebdssbonlinesearch
No borders! No prisons! No cops! No war! No state?,Tue Nov 15 13:00:00 CET 2022,https://www.eventbrite.com/e/no-borders-no-prisons-no-cops-no-war-no-state-tickets-404721281247?aff=ebdssbonlinesearch
Restorative Sound Bath with Zee,Tue Nov 15 15:00:00 CET 2022,https://www.eventbrite.com/e/restorative-sound-bath-with-zee-tickets-234036749217?aff=ebdssbonlinesearch
Talking to Kids about Mental Health [Free Webinar],Mon Nov 28 19:00:00 CET 2022,https://www.eventbrite.com/e/talking-to-kids-about-mental-health-free-webinar-tickets-439565079987?aff=ebdssbonlinesearch
